Part No,Category,SMC LP,CUBIX LP,Description
AW20-02BG1-B,FRUnit,1645,1702.58,1/4inch5µmFRUnit
AW20-02BCG1-B,FRUnit,2455,2540.93,1/4inch5µmFRUnit
AW30-03BG1-B,FRUnit,2285,2364.98,3/8inch5µmFRUnit
AW40-04BG1-B,FRUnit,3075,3182.63,1/2inch5µmFRUnit
AW40-04BDG1-B,FRUnit,4010,4150.35,1/2inch5µmFRUnit
Y200T-A,Cylindermounting,255,263.93,Cylindermounting
Y300T-A,Cylindermounting,285,294.98,Cylindermounting
KQ2P-10,Cylindermounting,38,39.33,Cylindermounting
AL20-02B-A,AirLubricator,925,957.38,AirLubricator
AL30-03B-A,AirLubricator,1255,1298.93,AirLubricator
AL40-04B-A,AirLubricator,1410,1459.35,AirLubricator
VMG11BU-02-02,BlowGun,1360,1407.6,BlowGun
ISE20-P-01-LA1,PressureSwitch,3855,3989.93,
ISE20A-V-01-JA1,PressureSwitch,4075,4217.63,High-PrecisionDigitalPressureSwitch
SY5120-5DZ-01,SolenoidValve,2770,2866.95,Solenoidvalve5/2single
SY5120-5D-01,SolenoidValve,2515,2603.03,Solenoidvalve5/2single
SY5220-5DZ-01,SolenoidValve,3995,4134.83,Solenoidvalve5/2double
SY5220-5D-01,SolenoidValve,3395,3513.83,
SY5320-5DZ-01,SolenoidValve,5820,6023.7,Solenoidvalve5/3centreclosed
SY5420-5DZ-01,SolenoidValve,5820,6023.7,Solenoidvalve5/3centreexhaust
SY7120-5DZ-02,SolenoidValve,3065,3172.28,Solenoidvalve5/2single
SY7220-5DZ-02,SolenoidValve,4445,4600.58,Solenoidvalve5/2double
SY7320-5DZ-02,SolenoidValve,6065,6277.28,Solenoidvalve5/3centreclosed
SY7420-5DZ-02,SolenoidValve,6065,6277.28,Solenoidvalve5/3centreexhaust
SS5Y5-20-04,Manifold,905,936.68,Manifold4station
SS5Y5-20-06,Manifold,1240,1283.4,Manifold6station
SS5Y5-20-08,Manifold,1565,1619.78,Manifold8station
SS5Y5-20-10,Manifold,1885,1950.98,Manifold10station
SS5Y5-20-02,Manifold,520,538.2,Manifold2station
SS5Y7-20-04,Manifold,1325,1371.38,Manifold4station
SS5Y7-20-06,Manifold,1950,2018.25,Manifold6station
SS5Y7-20-08,Manifold,2385,2468.48,Manifold8station
SS5Y7-20-10,Manifold,2825,2923.88,Manifold10station
SS5Y7-20-02,Manifold,890,921.15,Manifold2station
SY5000-26-1A-Q,BlankPlate,210,217.35,BlankPlate
CDQ2A25-25DMZ,AirCylinder,1540,1593.9,CompactAirCylinderwithMagnet
CDQ2A25-50DMZ,AirCylinder,1875,1940.63,CompactAirCylinderwithMagnet
CD55B25-25M,AirCylinder,1875,1940.63,ISOStandardsCompactAirCylinderwithMagnet
CD55B25-50M,AirCylinder,2040,2111.4,ISOStandardsCompactAirCylinderwithMagnet
CDQ2A32-25DMZ,AirCylinder,1885,1950.98,CompactAirCylinderwithMagnet
CDQ2A32-50DMZ,AirCylinder,2155,2230.43,CompactAirCylinderwithMagnet
CDQ2A32-75DMZ,AirCylinder,2360,2442.6,CompactAirCylinderwithMagnet
CDQ2A32-100DMZ,AirCylinder,2605,2696.18,CompactAirCylinderwithMagnet
CD55B32-25M,AirCylinder,2200,2277,ISOStandardsCompactAirCylinderwithMagnet
CD55B32-50M,AirCylinder,2325,2406.38,ISOStandardsCompactAirCylinderwithMagnet
CD55B32-75M,AirCylinder,2535,2623.73,
CDQ2A40-25DMZ,AirCylinder,2375,2458.13,CompactAirCylinderwithMagnet
CDQ2A40-50DMZ,AirCylinder,2690,2784.15,CompactAirCylinderwithMagnet
CDQ2A50-25DMZ,AirCylinder,2920,3022.2,CompactAirCylinderwithMagnet
CDQ2A50-50DMZ,AirCylinder,3270,3384.45,CompactAirCylinderwithMagnet
CDQ2A50-75DMZ,AirCylinder,3530,3653.55,CompactAirCylinderwithMagnet
CDQ2A50-100DMZ,AirCylinder,3870,4005.45,CompactAirCylinderwithMagnet
CD55B50-25M,AirCylinder,3320,3436.2,ISOStandardsCompactAirCylinderwithMagnet
CD55B50-50M,AirCylinder,3580,3705.3,ISOStandardsCompactAirCylinderwithMagnet
CD55B50-100M,AirCylinder,4140,4284.9,ISOStandardsCompactAirCylinderwithMagnet
CD85N25-25C-B,AirCylinder,1805,1868.18,ISOStandardsRoundBodyCylinder
CD85N25-50C-B,AirCylinder,1840,1904.4,ISOStandardsRoundBodyCylinder
CD85N25-80C-B,AirCylinder,1920,1987.2,ISOStandardsRoundBodyCylinder
CD85N25-100C-B,AirCylinder,1920,1987.2,ISOStandardsRoundBodyCylinder
CP96SDB32-50C,AirCylinder,2470,2556.45,StandardISOAirCylinderwithmagnet
CP96SDB32-75C,AirCylinder,2540,2628.9,StandardISOAirCylinderwithmagnet
CP96SDB32-100C,AirCylinder,2610,2701.35,StandardISOAirCylinderwithmagnet
CP96SDB40-50C,AirCylinder,2755,2851.43,StandardISOAirCylinderwithmagnet
CP96SDB40-100C,AirCylinder,2910,3011.85,StandardISOAirCylinderwithmagnet
CP96SDB50-50C,AirCylinder,3150,3260.25,StandardISOAirCylinderwithmagnet
CP96SDB50-100C,AirCylinder,3375,3493.13,StandardISOAirCylinderwithmagnet
CP96SDB63-50C,AirCylinder,3825,3958.88,StandardISOAirCylinderwithmagnet
CP96SDB63-100C,AirCylinder,4070,4212.45,StandardISOAirCylinderwithmagnet
MDBB32-50Z,AirCylinder,2275,2354.63,AirCylinder(Tierod)withBuiltinMagnet
MDBB32-100Z,AirCylinder,2380,2463.3,AirCylinder(Tierod)withBuiltinMagnet
MDBB50-50Z,AirCylinder,2790,2887.65,AirCylinder(Tierod)withBuiltinMagnet
MDBB50-100Z,AirCylinder,2960,3063.6,AirCylinder(Tierod)withBuiltinMagnet
MDBB63-50Z,AirCylinder,3450,3570.75,AirCylinder(Tierod)withBuiltinMagnet
MDBB63-100Z,AirCylinder,3640,3767.4,AirCylinder(Tierod)withBuiltinMagnet
VM230-02-30GA,MechanicalValve,1695,1754.33,"MechanicalValve,PushButtonType"
VM230-02-30BA,MechanicalValve,1695,1754.33,"MechanicalValve,PushButtonType"
VM230-02-30RA,MechanicalValve,1695,1754.33,
VT307-5DZ1-01,Valve,2290,2370.15,DirectOperatedPoppetTypeSolenoidValve
VT317-5DZ-02,Valve,3735,3865.73,3PortSolenoidValve
VHS20-02A,Valve,1290,1335.15,PressureRelief3PortValve
VHS30-03A,Valve,1365,1412.78,PressureRelief3PortValve
VHS40-04A,Valve,2065,2137.28,PressureRelief3PortValve
AR20-02BG1-B,PressureRegulator,1150,1190.25,1/4inchPressureRegulatorwithGauge
AR30-03BG1-B,PressureRegulator,1560,1614.6,3/8inchPressureRegulatorwithGauge
AR40-04BG1-B,PressureRegulator,1945,2013.08,1/2inchPressureRegulatorwithGauge
IR2020-02BG-A,PrecisionRegulator,5545,5739.08,PrecisionRegulator
IR3020-03BG-A,PrecisionRegulator,8920,9232.2,PrecisionRegulator
MB-L03,CylinderAccessories,150,155.25,CylinderMounting
MB-L05,CylinderAccessories,210,217.35,CylinderMounting
MB-L06,CylinderAccessories,245,253.58,CylinderMounting
MB-F03,CylinderAccessories,395,408.83,FlangekitforMBCylinder
MB-F05,CylinderAccessories,530,548.55,FlangekitforMBCylinder
MB-F06,CylinderAccessories,665,688.28,FlangekitforMBCylinder
MB-C03,CylinderAccessories,625,646.88,ClevisKitforMBCylinder
MB-C05,CylinderAccessories,805,833.18,ClevisKitforMBCylinder
MB-C06,CylinderAccessories,920,952.2,ClevisKitforMBCylinder
VR1210F-06,ShuttleValve,650,672.75,ShuttleValve
SY30M-11-1A,Gasketkit,165,170.78,Gasketkit
VR1211F-06,AndValve,825,853.88,ANDValvewithOne-touchFittings
TU0425BU-20,Tubing,465,481.28,?4mmPolyurethaneTubing
